Date,AQI,State,Site ID
2010-01-01,60.17558109760867,New York,0
2010-01-02,57.63461337976315,New York,1
2010-01-03,68.68616639678982,New York,2
2010-01-04,51.829096102121206,New York,3
2010-01-05,49.88393076953243,New York,4
2010-01-06,34.98265275776679,New York,5
2010-01-07,34.28430679105889,New York,6
2010-01-08,65.13928184179808,New York,7
2010-01-09,43.56490884645324,New York,8
2010-01-10,45.967836134783184,New York,9
2010-01-11,45.183285511451565,New York,10
2010-01-12,51.74546091491498,New York,11
2010-01-13,60.64040541647291,New York,12
2010-01-14,60.54390482907888,New York,13
2010-01-15,50.7435289512143,New York,14
2010-01-16,47.567762524893695,New York,15
2010-01-17,38.20540584333976,New York,16
2010-01-18,60.65106275000617,New York,17
2010-01-19,51.37910876548327,New York,18
2010-01-20,48.2385694549993,New York,19
2010-01-21,53.57135667719501,New York,20
2010-01-22,57.047463903531145,New York,21
2010-01-23,58.14329195896951,New York,22
2010-01-24,44.88052153488751,New York,23
2010-01-25,49.495588527851915,New York,24
2010-01-26,43.19179711157932,New York,25
2010-01-27,40.797740322199736,New York,26
2010-01-28,63.314922507407964,New York,27
2010-01-29,53.90989344238212,New York,28
2010-01-30,63.81667941601981,New York,29
2010-01-31,56.98719819418721,New York,30
2010-02-01,58.380951842807306,New York,31
2010-02-02,47.92930450027646,New York,32
2010-02-03,63.07586958947089,New York,33
2010-02-04,67.38458596642113,New York,34
2010-02-05,85.85201670431861,New York,35
2010-02-06,55.87786817582717,New York,36
2010-02-07,49.75653366995297,New York,37
2010-02-08,58.06087216792846,New York,38
2010-02-09,40.54447607119861,New York,39
2010-02-10,54.80762968358057,New York,40
2010-02-11,48.349282025640214,New York,41
2010-02-12,53.85251145596254,New York,42
2010-02-13,55.716344251672126,New York,43
2010-02-14,31.18659554328005,New York,44
2010-02-15,71.01903130104043,New York,45
2010-02-16,69.57845111218403,New York,46
2010-02-17,45.568541499920656,New York,47
2010-02-18,50.41923917208611,New York,48
2010-02-19,66.854849294466,New York,49
2010-02-20,58.12268112374331,New York,50
2010-02-21,37.864348162642756,New York,51
2010-02-22,58.73616553614842,New York,52
2010-02-23,46.86386986662535,New York,53
2010-02-24,62.376357370271236,New York,54
2010-02-25,54.988103309508276,New York,55
2010-02-26,72.35432897620574,New York,56
2010-02-27,48.12789183289427,New York,57
2010-02-28,68.65974939037933,New York,58
2010-03-01,57.87226445221544,New York,59
2010-03-02,57.628893435904,New York,60
2010-03-03,52.537825055903255,New York,61
2010-03-04,52.252263349234724,New York,62
2010-03-05,63.485170268940664,New York,63
2010-03-06,65.23715137499337,New York,64
2010-03-07,69.10349710055903,New York,65
2010-03-08,53.30036699188156,New York,66
2010-03-09,55.51853017018523,New York,67
2010-03-10,62.286608434936284,New York,68
2010-03-11,48.01879646769271,New York,69
2010-03-12,67.78716394427943,New York,70
2010-03-13,45.93993958978485,New York,71
2010-03-14,42.22792320200992,New York,72
2010-03-15,77.70475797730872,New York,73
2010-03-16,42.567383285487395,New York,74
2010-03-17,74.84129422549957,New York,75
2010-03-18,67.82082291885351,New York,76
2010-03-19,61.63353508466331,New York,77
2010-03-20,48.357461050578365,New York,78
2010-03-21,32.97681890691334,New York,79
2010-03-22,73.60525454913775,New York,80
2010-03-23,65.35299289135023,New York,81
2010-03-24,84.89024656442348,New York,82
2010-03-25,74.77303358129423,New York,83
2010-03-26,70.65827758525433,New York,84
2010-03-27,66.27790259085012,New York,85
2010-03-28,64.25094704832703,New York,86
2010-03-29,47.38365792013746,New York,87
2010-03-30,48.84080415378803,New York,88
2010-03-31,77.81807911570593,New York,89
2010-04-01,48.78597362276507,New York,90
2010-04-02,55.97387927721143,New York,91
2010-04-03,53.845423574196886,New York,92
2010-04-04,69.7629792085026,New York,93
2010-04-05,78.846908688515,New York,94
2010-04-06,61.386945822882616,New York,95
2010-04-07,56.195508403097406,New York,96
2010-04-08,72.31475352144128,New York,97
2010-04-09,53.44946597648653,New York,98
2010-04-10,84.64581449814311,New York,99
2010-04-11,57.08135315185966,New York,100
2010-04-12,32.38079177699521,New York,101
2010-04-13,75.41363190964518,New York,102
2010-04-14,55.35518990577217,New York,103
2010-04-15,66.02295997871313,New York,104
2010-04-16,50.73833373860556,New York,105
2010-04-17,67.74712150051805,New York,106
2010-04-18,76.90255376423666,New York,107
2010-04-19,48.034339779337074,New York,108
2010-04-20,42.5032703293011,New York,109
2010-04-21,59.6500919227715,New York,110
2010-04-22,55.187591188011055,New York,111
2010-04-23,71.29780485785467,New York,112
2010-04-24,54.210484778158516,New York,113
2010-04-25,57.99747782683561,New York,114
2010-04-26,57.2028682428477,New York,115
2010-04-27,69.51995457825996,New York,116
2010-04-28,60.61979793387672,New York,117
2010-04-29,47.64252616971892,New York,118
2010-04-30,59.62311565072083,New York,119
2010-05-01,64.34974784093664,New York,120
2010-05-02,55.00205789636642,New York,121
2010-05-03,61.038703541689166,New York,122
2010-05-04,58.30654269574806,New York,123
2010-05-05,54.7316764749512,New York,124
2010-05-06,69.66325737927633,New York,125
